type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
condos,2016.0,4.0,3.0,3.0,,1.0,,2300.0,4.0,925000.0,2022-01-11,965000.0,for_sale
condos,1906.0,3.0,2.0,2.0,,,,,3.0,405000.0,2018-09-28,525000.0,for_sale
condos,1929.0,2.0,2.0,1.0,1.0,,,780.0,3.0,200000.0,2015-07-08,299900.0,for_sale
condos,1928.0,2.0,2.0,2.0,,,,1200.0,4.0,160000.0,2017-11-02,229900.0,for_sale
multi_family,1901.0,5.0,3.0,3.0,,2.0,4375.0,,,,,559000.0,for_sale
condos,2007.0,2.0,2.0,2.0,,,,1200.0,1.0,264000.0,2007-10-09,249900.0,for_sale
condos,2018.0,4.0,4.0,3.0,1.0,1.0,,4400.0,4.0,,,2450000.0,for_sale
townhomes,1991.0,3.0,3.0,2.0,1.0,2.0,1586.0,3200.0,3.0,,,1150000.0,for_sale
condos,2007.0,4.0,3.0,3.0,,3.0,,,4.0,1100000.0,2022-01-31,1450000.0,for_sale
townhomes,1999.0,3.0,3.0,2.0,1.0,2.0,,2382.0,4.0,439500.0,2013-12-09,649900.0,for_sale
condos,1909.0,3.0,2.0,2.0,,,,1400.0,3.0,85000.0,2016-02-26,204900.0,for_sale
condos,2017.0,3.0,3.0,2.0,1.0,1.0,,2340.0,3.0,,,975000.0,for_sale
multi_family,1885.0,6.0,2.0,2.0,,2.0,,,,305000.0,2021-05-17,649900.0,for_sale
condos,2005.0,2.0,2.0,2.0,,1.0,,,3.0,590000.0,2022-07-06,735000.0,for_sale
multi_family,1910.0,5.0,2.0,2.0,,2.0,3485.0,,,26000.0,2012-12-11,284900.0,for_sale
condos,1896.0,3.0,2.0,2.0,,,,1600.0,3.0,1185000.0,2019-06-19,469000.0,for_sale
townhomes,1944.0,2.0,2.0,1.0,1.0,1.0,2142.0,992.0,2.0,76000.0,1993-12-27,219900.0,for_sale
condos,1911.0,3.0,3.0,2.0,1.0,,,2300.0,4.0,275000.0,2023-01-09,325000.0,for_sale
condos,2019.0,4.0,5.0,3.0,2.0,1.0,,4000.0,4.0,,,1599000.0,for_sale
townhomes,1986.0,4.0,5.0,4.0,1.0,1.0,,3800.0,4.0,1100000.0,2005-08-18,1050000.0,for_sale
multi_family,1904.0,6.0,3.0,3.0,,2.0,6098.0,3000.0,,435000.0,2019-06-07,600000.0,for_sale
condos,1890.0,2.0,2.0,2.0,,1.0,,1116.0,3.0,350000.0,2018-05-23,450000.0,for_sale
multi_family,1898.0,4.0,2.0,2.0,,2.0,2698.0,,,111500.0,1992-01-30,699900.0,for_sale
condos,1963.0,2.0,1.0,1.0,,1.0,,900.0,1.0,273000.0,2018-05-07,335000.0,for_sale
condos,,2.0,2.0,2.0,,,,1350.0,4.0,,,629000.0,for_sale
condos,1922.0,3.0,4.0,3.0,1.0,2.0,,4500.0,12.0,,,1495000.0,for_sale
condos,2006.0,2.0,2.0,2.0,,1.0,,1200.0,3.0,348500.0,2021-02-19,389000.0,for_sale
condos,1907.0,2.0,1.0,1.0,,,,,4.0,364000.0,2008-11-18,385000.0,for_sale
multi_family,1908.0,6.0,2.0,2.0,,,,,,92500.0,2021-03-03,265000.0,for_sale
multi_family,,8.0,5.0,5.0,,,2616.0,,,740000.0,2015-07-23,1229900.0,for_sale
condos,2016.0,3.0,2.0,2.0,,1.0,,,4.0,589000.0,2022-08-09,635000.0,for_sale
condos,,3.0,2.0,2.0,,,,2000.0,3.0,,,450000.0,for_sale
condos,2019.0,3.0,3.0,3.0,,,,1850.0,4.0,,,600000.0,for_sale
condos,,2.0,2.0,2.0,,,,1000.0,3.0,137000.0,2020-11-10,175000.0,for_sale
condos,2021.0,3.0,3.0,2.0,1.0,1.0,,1700.0,4.0,,,850000.0,for_sale
condos,1964.0,1.0,1.0,1.0,,,,,2.0,118000.0,2001-05-09,155000.0,for_sale
condos,2006.0,2.0,2.0,2.0,,,,1296.0,3.0,108500.0,2011-05-31,397999.0,for_sale
condos,2002.0,2.0,2.0,2.0,,,,1200.0,3.0,,,259999.0,for_sale
multi_family,1875.0,7.0,3.0,3.0,,,2475.0,,,55000.0,1987-03-01,694995.0,for_sale
condos,2009.0,3.0,2.0,2.0,,1.0,,1800.0,4.0,715000.0,2014-08-11,885000.0,for_sale
multi_family,1915.0,5.0,2.0,2.0,,,2614.0,,,79000.0,1996-04-24,171000.0,for_sale
multi_family,1910.0,7.0,3.0,3.0,,,3125.0,,,50000.0,1997-11-18,410000.0,for_sale
condos,1960.0,1.0,1.0,1.0,,,,800.0,3.0,27000.0,1987-02-01,145900.0,for_sale
condos,1923.0,2.0,2.0,2.0,,,,1000.0,3.0,250000.0,2017-08-02,325000.0,for_sale
multi_family,1895.0,5.0,2.0,2.0,,,3125.0,,,13500.0,2012-11-01,288000.0,for_sale
multi_family,1900.0,6.0,3.0,3.0,,2.0,3125.0,,,343000.0,2006-02-14,510000.0,for_sale
condos,1920.0,1.0,1.0,1.0,,1.0,,1000.0,4.0,365000.0,2017-09-06,409900.0,for_sale
condos,1906.0,1.0,1.0,1.0,,1.0,,,10.0,260000.0,2021-06-08,295000.0,for_sale
condos,1913.0,0.0,1.0,1.0,,2.0,,505.0,10.0,115000.0,2021-04-12,149900.0,for_sale
condos,2004.0,2.0,2.0,2.0,,1.0,,1359.0,7.0,420000.0,2017-04-13,400000.0,for_sale
condos,1962.0,2.0,2.0,2.0,,1.0,,1200.0,28.0,,,180000.0,for_sale
condos,1920.0,2.0,2.0,1.0,1.0,,,1217.0,4.0,400000.0,2018-06-29,450000.0,for_sale
condos,2001.0,1.0,1.0,1.0,,1.0,,,6.0,257500.0,2014-09-22,399900.0,for_sale
condos,,2.0,1.0,1.0,,,,900.0,3.0,,,215000.0,for_sale
condos,1972.0,2.0,2.0,2.0,,1.0,,1425.0,57.0,,,464000.0,for_sale
condos,,4.0,2.0,2.0,,,,1600.0,3.0,364000.0,2019-06-24,475000.0,for_sale
condos,,1.0,1.0,1.0,,,,,3.0,110000.0,2022-09-23,140000.0,for_sale
condos,1971.0,1.0,1.0,1.0,,,,750.0,3.0,,,139000.0,for_sale
condos,,2.0,2.0,2.0,,,,1600.0,4.0,342500.0,2019-02-14,389900.0,for_sale
condos,1971.0,2.0,2.0,1.0,1.0,,,,6.0,111500.0,1996-03-05,214900.0,for_sale
condos,2005.0,2.0,1.0,1.0,,1.0,,980.0,4.0,,,319000.0,for_sale
condos,1960.0,2.0,1.0,1.0,,,,,4.0,105000.0,2017-11-29,134900.0,for_sale
condos,,2.0,1.0,1.0,,,,,3.0,268500.0,2021-06-10,319500.0,for_sale
multi_family,,6.0,3.0,3.0,,2.0,,,,133500.0,1992-07-28,299000.0,for_sale
condos,,2.0,1.0,1.0,,,,,3.0,,,199900.0,for_sale
condos,1998.0,2.0,1.0,1.0,,1.0,,1039.0,10.0,410000.0,2020-10-29,399000.0,for_sale
condos,2002.0,1.0,1.0,1.0,,1.0,,,35.0,252000.0,2016-10-06,280000.0,for_sale
condos,1988.0,1.0,2.0,1.0,1.0,1.0,,1470.0,66.0,625000.0,2000-03-17,575000.0,for_sale
condos,2006.0,2.0,2.0,2.0,,1.0,,1175.0,16.0,,,445000.0,for_sale
townhomes,2024.0,3.0,3.0,2.0,1.0,2.0,1984.0,1670.0,2.0,,,469000.0,for_sale
condos,1962.0,1.0,1.0,1.0,,,,725.0,60.0,231000.0,2016-06-15,339000.0,for_sale
condos,2003.0,0.0,1.0,1.0,,1.0,,,59.0,183000.0,2003-12-23,209900.0,for_sale
condos,1968.0,1.0,1.0,1.0,,1.0,,1100.0,70.0,375000.0,2015-02-26,410000.0,for_sale
condos,1969.0,1.0,1.0,1.0,,1.0,,800.0,40.0,54000.0,1980-05-21,249900.0,for_sale
condos,2023.0,4.0,4.0,3.0,1.0,1.0,,2400.0,3.0,,,1169000.0,for_sale
condos,,1.0,1.0,1.0,,1.0,,750.0,23.0,225000.0,2015-11-18,245000.0,for_sale
condos,1985.0,1.0,1.0,1.0,,1.0,,735.0,26.0,223000.0,2006-06-13,200000.0,for_sale
condos,2005.0,1.0,1.0,1.0,,,,860.0,45.0,392000.0,2016-08-19,365000.0,for_sale
condos,2009.0,1.0,1.0,1.0,,,,,46.0,,,260000.0,for_sale
condos,2004.0,1.0,1.0,1.0,,1.0,,,22.0,265000.0,2021-05-18,275000.0,for_sale
condos,,1.0,1.0,1.0,,,,,16.0,190000.0,2010-04-26,189000.0,for_sale
condos,1974.0,2.0,3.0,2.0,1.0,2.0,,,28.0,515000.0,2011-04-05,590000.0,for_sale
condos,2005.0,3.0,2.0,2.0,,1.0,,1611.0,57.0,755000.0,2021-02-10,724900.0,for_sale
condos,1972.0,2.0,2.0,2.0,,1.0,,1100.0,30.0,420000.0,2021-03-25,500000.0,for_sale
condos,2006.0,1.0,1.0,1.0,,1.0,,864.0,24.0,,,265000.0,for_sale
condos,1972.0,2.0,2.0,2.0,,1.0,,1762.0,45.0,275000.0,2004-05-07,398000.0,for_sale
condos,2007.0,2.0,2.0,2.0,,1.0,,,7.0,368000.0,2018-09-24,387500.0,for_sale
condos,,1.0,1.0,1.0,,1.0,,,7.0,239000.0,2007-12-14,249900.0,for_sale
condos,1973.0,1.0,1.0,1.0,,1.0,,680.0,54.0,45000.0,1993-08-06,229000.0,for_sale
single_family,2024.0,4.0,3.0,2.0,1.0,2.0,3125.0,2800.0,2.0,,,790000.0,for_sale
condos,1962.0,2.0,1.0,1.0,,,,1000.0,14.0,60000.0,2000-12-26,75900.0,for_sale
condos,2005.0,3.0,3.0,2.0,1.0,1.0,,1758.0,57.0,1038000.0,2016-12-22,1100000.0,for_sale
condos,2004.0,1.0,2.0,1.0,1.0,1.0,,,8.0,380000.0,2022-04-25,250000.0,for_sale
condos,2005.0,3.0,3.0,2.0,1.0,1.0,,2096.0,55.0,955500.0,2013-06-14,950000.0,for_sale
condos,2008.0,2.0,2.0,2.0,,1.0,,1299.0,12.0,580000.0,2016-12-22,650000.0,for_sale
condos,1984.0,2.0,2.0,2.0,,1.0,,,29.0,335000.0,2005-05-27,325000.0,for_sale
condos,2003.0,2.0,2.0,2.0,,2.0,,1395.0,10.0,599000.0,2020-12-07,685000.0,for_sale
condos,1973.0,2.0,2.0,2.0,,1.0,,1150.0,57.0,309000.0,2022-04-22,325000.0,for_sale
condos,1972.0,2.0,2.0,2.0,,1.0,,1400.0,40.0,180000.0,1986-04-01,549900.0,for_sale
condos,1960.0,1.0,1.0,1.0,,1.0,,925.0,28.0,200000.0,2005-04-13,177500.0,for_sale
condos,1960.0,0.0,1.0,1.0,,1.0,,500.0,28.0,330000.0,2008-03-27,169900.0,for_sale
condos,2000.0,2.0,2.0,2.0,,1.0,,,27.0,437000.0,2020-11-03,449900.0,for_sale
condos,1958.0,1.0,1.0,1.0,,1.0,,860.0,19.0,236000.0,2017-05-11,199900.0,for_sale
condos,2003.0,1.0,2.0,1.0,1.0,1.0,,890.0,15.0,222000.0,2003-10-16,325000.0,for_sale
condos,1966.0,1.0,1.0,1.0,,1.0,,850.0,30.0,,,165000.0,for_sale
condos,1916.0,2.0,2.0,2.0,,,,1400.0,10.0,320000.0,2019-12-26,370000.0,for_sale
multi_family,1924.0,6.0,3.0,3.0,,,3900.0,,,,,275000.0,for_sale
mobile,2018.0,3.0,2.0,2.0,,,2250.0,,,,,90000.0,for_sale
multi_family,1890.0,8.0,0.0,,,,,,,3375000.0,2022-06-28,424900.0,for_sale
condos,,2.0,1.0,1.0,,,,,2.0,151000.0,2015-07-17,249000.0,for_sale
condos,1926.0,2.0,2.0,2.0,,,,1700.0,29.0,510000.0,2021-08-11,399900.0,for_sale
single_family,1967.0,3.0,2.0,1.0,1.0,,,,2.0,58500.0,1997-09-18,29000.0,for_sale
condos,1926.0,1.0,1.0,1.0,,,,,3.0,,,249900.0,for_sale
single_family,1939.0,3.0,2.0,1.0,1.0,2.0,,1320.0,2.0,,,269999.0,for_sale
single_family,1931.0,3.0,2.0,1.0,1.0,2.0,6200.0,2026.0,2.0,,,495000.0,for_sale
townhomes,1921.0,3.0,2.0,1.0,1.0,1.0,3750.0,1233.0,2.0,62000.0,1992-11-12,93000.0,for_sale
multi_family,1928.0,9.0,6.0,6.0,,,3729.0,,,74000.0,1990-10-30,233000.0,for_sale
single_family,1927.0,5.0,5.0,4.0,1.0,2.0,12502.0,4724.0,2.0,,,949873.0,for_sale
single_family,1951.0,3.0,1.0,1.0,,,5560.0,1127.0,1.0,175000.0,2011-07-25,249000.0,for_sale
condos,1890.0,3.0,2.0,2.0,,,,1800.0,4.0,552000.0,2019-09-17,625000.0,for_sale
single_family,1916.0,4.0,3.0,2.0,1.0,2.0,3125.0,1360.0,2.0,290000.0,2019-08-23,160000.0,for_sale
condos,1967.0,2.0,2.0,2.0,,,,,1.0,480000.0,2017-10-10,495000.0,for_sale
single_family,1953.0,3.0,2.0,1.0,1.0,2.0,3750.0,1100.0,,,,240000.0,for_sale
land,,,0.0,,,,3125.0,,,15000.0,1992-10-23,84500.0,for_sale
land,2006.0,,0.0,,,,200.0,,,,,20000.0,for_sale
land,,,0.0,,,,3500.0,,,,,80000.0,for_sale
single_family,1969.0,3.0,2.0,2.0,,1.0,5244.0,1622.0,1.0,60000.0,1988-09-07,264500.0,for_sale
land,2002.0,,0.0,,,,200.0,,,,,200.0,for_sale
land,1987.0,,0.0,,,,190.0,,,42000.0,2004-09-16,29000.0,for_sale
land,1923.0,,0.0,,,,162.0,,,520000.0,2022-03-23,150.0,for_sale
single_family,1983.0,3.0,2.0,2.0,,,4687.0,1224.0,,145000.0,2019-03-12,185000.0,for_sale
single_family,,6.0,13.0,8.0,5.0,1.0,6599.0,20002.0,3.0,,,15750000.0,for_sale
condos,,1.0,1.0,1.0,,1.0,,850.0,25.0,,,28000.0,for_sale
single_family,1960.0,4.0,2.0,2.0,,2.0,7830.0,2165.0,,490000.0,2017-08-07,689000.0,for_sale
land,1969.0,,0.0,,,,,,,210000.0,2021-07-30,38000.0,for_sale
single_family,2023.0,3.0,2.0,2.0,,,3125.0,1445.0,2.0,,,389999.0,for_sale
single_family,1917.0,2.0,2.0,2.0,,2.0,4625.0,,2.0,,,129900.0,for_sale
single_family,1944.0,4.0,4.0,3.0,1.0,2.0,,2700.0,2.0,180000.0,2021-06-24,790000.0,for_sale
single_family,1909.0,4.0,3.0,3.0,,2.0,,2300.0,2.0,40000.0,2005-02-23,389900.0,for_sale
single_family,1961.0,3.0,1.0,1.0,,2.0,,1104.0,1.0,,,114400.0,for_sale
townhomes,1945.0,2.0,1.0,1.0,,1.0,,936.0,2.0,,,49000.0,for_sale
single_family,1960.0,3.0,1.0,1.0,,2.0,5320.0,1200.0,,,,299900.0,for_sale
single_family,1924.0,4.0,1.0,1.0,,2.0,,899.0,2.0,45000.0,1990-01-02,93600.0,for_sale
multi_family,2021.0,5.0,4.0,3.0,1.0,,2544.0,,,,,399000.0,for_sale
single_family,,4.0,,3.0,,,,4500.0,,,,1600000.0,ready_to_build
single_family,1929.0,5.0,4.0,2.0,2.0,2.0,12776.0,6721.0,2.0,640000.0,2004-12-02,998888.0,for_sale
single_family,1915.0,5.0,7.0,3.0,4.0,2.0,13504.0,5500.0,3.0,281500.0,2010-09-08,1175000.0,for_sale
condos,,2.0,2.0,2.0,,,,1375.0,5.0,269000.0,2017-05-25,299900.0,for_sale
condos,1917.0,2.0,2.0,2.0,,,,1500.0,1.0,332500.0,2013-01-24,450000.0,for_sale
condos,1968.0,1.0,1.0,1.0,,,,800.0,2.0,72000.0,2019-07-15,110000.0,for_sale
condos,1923.0,2.0,1.0,1.0,,,,1100.0,3.0,214500.0,2004-07-29,224700.0,for_sale
single_family,1911.0,4.0,3.0,2.0,1.0,,3746.0,1150.0,2.0,243000.0,2007-08-20,99500.0,for_sale
single_family,1913.0,4.0,1.0,1.0,,2.0,8960.0,1350.0,2.0,54000.0,1993-03-24,119900.0,for_sale
single_family,1900.0,3.0,1.0,1.0,,,3100.0,1600.0,,49000.0,1989-04-27,180000.0,for_sale
single_family,1951.0,3.0,2.0,1.0,1.0,,,1492.0,2.0,,,289900.0,for_sale
single_family,1958.0,3.0,3.0,2.0,1.0,2.0,5355.0,1220.0,1.0,92500.0,1986-08-01,345000.0,for_sale
